,CONTROL,AGE1,METRO3,REGION,LMED,FMR,L30,L50,L80,IPOV,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,ROOMS,WEIGHT,PER,ZINC2,ZADEQ,ZSMHC,STRUCTURETYPE,OWNRENT,UTILITY,OTHERCOST,COST06,COST12,COST08,COSTMED,TOTSAL,ASSISTED,GLMED,GL30,GL50,GL80,APLMED,ABL30,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COST06RELAMIPCT,COST06RELAMICAT,COST06RELPOVPCT,COST06RELPOVCAT,COST06RELFMRPCT,COST06RELFMRCAT,COST08RELAMIPCT,COST08RELAMICAT,COST08RELPOVPCT,COST08RELPOVCAT,COST08RELFMRPCT,COST08RELFMRCAT,COST12RELAMIPCT,COST12RELAMICAT,COST12RELPOVPCT,COST12RELPOVCAT,COST12RELFMRPCT,COST12RELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO3,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOST06RELPOVCAT,FMTCOST08RELPOVCAT,FMTCOST12RELPOVCAT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOST06RELFMRCAT,FMTCOST08RELFMRCAT,FMTCOST12RELFMRCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOST06RELAMICAT,FMTCOST08RELAMICAT,FMTCOST12RELAMICAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTREGION,FMTSTATUS
66,'100077230103',64,'1','4',63226,702,13607,22659,36222,12019,1,2007,'1',1,-6,-6,'2',10,3,3180.2167514000002,1,56000,'1',824,3,'2',72.333333333,16.666666667,824.0,824.0,824.0,824.0,7000,0,63226,13607,22659,36222,44258.2,14578.928571,24277.5,38809.285714,47419.5,0.1765714286,126.53022491,7,465.92894584,4,199.43019943,3,69.50727021600001,4,274.23246526,4,117.37891738,3,69.50727021600001,4,274.23246526,4,117.37891738,3,69.50727021600001,4,274.23246526,4,117.37891738,3,69.50727021600001,4,274.23246526,4,117.37891738,3,'1 Adequate','Central City','2000-2009','3 5-19 units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','7 120% AMI +','0 Not Assisted','1 Less than 30%','West','-5'
67,'100078300246',23,'2','2',71022,796,15041,25071,39722,12005,2,1990,'1',1,-6,-6,'2',2,4,3152.0004771,1,50000,'1',718,2,'2',87.0,10.833333332999999,718.0,718.0,718.0,718.0,48000,0,71022,15041,25071,39722,49715.4,19338.428571,32234.142857,51071.142857,63919.8,0.17232,100.57245843,6,416.49312786,4,157.03517588,3,44.931304541,2,239.23365264,4,90.201005025,2,44.931304541,2,239.23365264,4,90.201005025,2,44.931304541,2,239.23365264,4,90.201005025,2,44.931304541,2,239.23365264,4,90.201005025,2,'1 Adequate','-5','1990-1999','2 2-4 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','3 GT FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
68,'100092130103',31,'2','1',77566,1435,25434,42370,64130,27610,4,2004,'1',1,-6,-6,'2',1,6,2743.1103533000005,5,70187,'1',1751,1,'2',368.91666667,32.0,1751.0,1751.0,1751.0,1751.0,70000,0,77566,25434,42370,64130,83771.28,27318.0,45508.518519,68880.37037,89976.56,0.2993716785,83.784084474,5,254.20862007,4,122.27700348,3,77.842495868,5,253.67620427,4,122.02090592,3,77.842495868,5,253.67620427,4,122.02090592,3,77.842495868,5,253.67620427,4,122.02090592,3,77.842495868,5,253.67620427,4,122.02090592,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','5 80 - 100% AMI','5 80 - 100% AMI','5 80 - 100% AMI','5 80 - 100% AMI','5 80 - 100% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
69,'100092230103',49,'2','1',77566,1277,18833,31385,47504,15470,3,2006,'1',1,-6,-6,'2',1,5,2560.7819053000003,2,34812,'1',802,1,'2',202.0,0.0,802.0,802.0,802.0,802.0,34838,0,77566,18833,31385,47504,62052.8,24482.9,40800.5,61755.2,80668.64,0.2764563943,56.100611092,3,225.02908856,4,68.151918559,2,39.767622214,2,207.36910149,4,62.803445576,2,39.767622214,2,207.36910149,4,62.803445576,2,39.767622214,2,207.36910149,4,62.803445576,2,39.767622214,2,207.36910149,4,62.803445576,2,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','3 50 - 60% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
70,'100094190143',60,'1','2',64362,1077,15429,25701,41108,15439,3,1980,'1',1,150000,-6,'1',1,6,2542.1814258,2,80002,'1',429,1,'1',191.08333333,50.0,1237.9765423000001,1817.2103392000001,1419.1655081,1112.6085016,0,-9,64362,15429,25701,41108,51489.6,20057.7,33411.3,53440.4,66936.48,0.0643483913,155.37506603,7,518.18122935,4,185.70566388,3,73.979183984,4,320.74008480000003,4,114.94675416,3,84.806700805,5,367.68327173,4,131.77024216,3,108.59312227,6,470.81037352,4,168.72890800000002,3,66.487422201,4,288.25921409,4,103.30626756,3,'1 Adequate','Central City','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','5 80 - 100% AMI','6 100 - 120% AMI','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
71,'100094350143',64,'3','2',64182,1002,15311,25500,40787,15439,3,1990,'1',1,250000,-6,'1',1,7,3657.5770641000004,2,36000,'1',873,1,'1',356.33333333,100.0,2117.8220149,3083.2116764,2419.8036246,1908.8752804,0,-9,64182,15311,25500,40787,51345.6,19904.3,33150.0,53023.1,66749.28,0.29100000000000004,70.113115827,4,233.17572382,4,89.82035928100001,2,126.91205148,7,548.69409027,4,211.35948253,3,145.00852291,7,626.93273517,4,241.49736772,3,184.76374136,7,798.81123814,4,307.70575613,3,114.39076379,6,494.55930577,4,190.50651501,3,'1 Adequate','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','4 60 - 80% AMI','.','1 Less than 30%','-5','-5'
72,'100094500143',22,'1','2',64362,751,15429,25701,41108,15470,2,1980,'1',1,-6,-6,'2',6,4,1693.9188124000002,2,6988,'1',685,3,'2',110.0,0.0,685.0,685.0,685.0,685.0,7000,0,64362,15429,25701,41108,51489.6,17357.625,28913.625,46246.5,57925.8,1.1763022323999999,13.571672726,1,45.171299289,1,23.262316911,1,47.301893111999995,2,177.11700065,3,91.21171771,2,47.301893111999995,2,177.11700065,3,91.21171771,2,47.301893111999995,2,177.11700065,3,91.21171771,2,47.301893111999995,2,177.11700065,3,91.21171771,2,'1 Adequate','Central City','1980-1989','3 5-19 units','2 2BR','2 Renter','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','1 LTE Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','1 LTE 50% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','1 LTE 30% AMI','0 Not Assisted','3 50% or More','-5','-5'
73,'100101360143',56,'4','2',63221,987,15237,25368,40575,15470,3,1985,'1',1,150000,-6,'1',1,8,2550.5022090999996,2,372543,'1',1154,1,'1',197.5,58.333333333,1252.7265423000001,1831.9603392000001,1433.9155081,1127.3585016,341943,-9,63221,15237,25368,40575,50576.8,19808.1,32978.4,52747.5,65749.84,0.037171548,736.58871261,7,2408.1641888,4,943.62462006,3,76.21168613,4,323.91119387,4,126.92264866,3,87.234615815,5,370.76031236,4,145.28019332,3,111.45032987,6,473.68075997,4,185.60895027,3,68.58471452399999,4,291.49541089,4,114.22071951,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','4 60 - 80% AMI','5 80 - 100% AMI','6 100 - 120% AMI','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
74,'100102770145',-9,'2','3',77954,749,16434,27384,40379,-6,0,1990,'3',1,-6,1,'-6',102,1,1488.8469435999998,-6,-6,'-6',-6,5,'2',0.0,0.0,1845.0,1845.0,1845.0,1845.0,-9,-9,77954,16434,27384,40379,-9.0,16434.0,27384.0,40379.0,54567.8,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,135.24459480000002,7,-9.0,-9,246.32843792,3,135.24459480000002,7,-9.0,-9,246.32843792,3,135.24459480000002,7,-9.0,-9,246.32843792,3,135.24459480000002,7,-9.0,-9,246.32843792,3,'-5','-5','1990-1999','5 50+ units','0 Studio','2 Renter','.','.','.','.','.','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','.','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','.','.','-5','-5'
75,'100103130103',43,'2','2',65014,1130,19412,32361,51767,23401,4,2004,'1',1,320000,-6,'1',1,8,2503.6544817,4,164487,'1',1758,1,'1',181.33333333,126.66666667,2434.7055124000003,3670.4042791,2821.2419728,2167.2536923000002,159500,-9,65014,19412,32361,51767,65014.0,22517.92,37538.76,60049.72,75416.24,0.1282532966,253.00243025,7,702.90585872,4,363.90929204,3,129.13428261,7,416.17119139,4,215.46066482,3,149.63577992,7,482.24297642,4,249.66743122,3,194.67447749,7,627.39272324,4,324.81453798,3,114.94891245,6,370.45488523,4,191.79236215,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
76,'100103230103',40,'2','2',65014,1019,15550,25908,41440,15537,3,2006,'1',1,300000,-6,'1',1,7,2636.2993036,2,183087,'1',3804,1,'1',162.33333333,166.66666667,2322.7864179000003,3481.2540117,2685.1643495000003,2072.0503365,183000,-9,65014,15550,25908,41440,52011.2,20215.0,33680.4,53872.0,67614.56,0.2493240918,352.01456609,7,1178.3935122999999,4,449.18302257,3,137.41338658,7,598.00126612,4,227.94763669,3,158.85125035,7,691.29544944,4,263.5097497,3,205.94700382,7,896.24869967,4,341.63434855,3,122.58012692,7,533.44927245,4,203.34154431,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
77,'100105130103',-9,'4','3',59547,589,12837,21389,34008,-6,1,2005,'3',1,-6,1,'-6',6,3,633.77871226,-6,-6,'-6',-6,3,'2',0.0,15.0,515.0,515.0,515.0,515.0,-9,-9,59547,12837,21389,34008,-9.0,13753.928571,22916.785713999998,36437.142857,44660.25,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,46.126029298999995,2,-9.0,-9,87.43633276700001,2,46.126029298999995,2,-9.0,-9,87.43633276700001,2,46.126029298999995,2,-9.0,-9,87.43633276700001,2,46.126029298999995,2,-9.0,-9,87.43633276700001,2,'-5','-5','2000-2009','3 5-19 units','1 1BR','2 Renter','.','.','.','.','.','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','.','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','.','.','.','-5','-5'
78,'100107110148',38,'4','2',63221,1151,15237,25368,40575,15517,4,1980,'1',1,300000,-6,'1',1,8,3185.5794599,2,101974,'1',2139,1,'1',289.16666667,100.0,2382.9530846000002,3541.4206784000003,2745.3310161,2132.2170032000004,102000,-9,63221,15237,25368,40575,50576.8,22093.65,36783.6,58833.75,73336.36,0.2517112205,201.6220876,7,657.17600052,4,221.49000869,3,129.97389478,7,614.28190619,4,207.03328276,3,149.73914801,7,707.69633721,4,238.51703007,3,193.16042838,7,912.91375353,4,307.68207458,3,116.2979457,6,549.64671088,4,185.24908803,3,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
79,'100107130103',28,'1','3',73200,1421,17600,29300,46850,15452,3,2004,'1',1,330000,-6,'1',1,5,2722.3603609,2,7,'1',2546,1,'1',166.33333333,81.25,2440.748393,3715.0627461999998,2839.3641178000003,2164.9387035,0,-9,73200,17600,29300,46850,58560.0,22880.0,38090.0,60905.0,76128.0,4364.5714286,0.0119535519,1,0.0453015791,1,0.012315270900000001,1,128.24445108,7,631.82717914,4,171.76272998,3,149.18895112,7,735.01530359,4,199.81450512,3,195.20085888,7,961.70405027,4,261.44002436,3,113.75255903,6,560.42938222,4,152.35318111,3,'1 Adequate','Central City','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','1 LTE Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','1 LTE 50% FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','1 LTE 30% AMI','.','3 50% or More','-5','-5'
80,'100107150146',32,'1','3',73200,1050,17600,29300,46850,15470,2,1980,'1',1,-6,-6,'2',2,5,2803.1279544,2,40,'1',1140,2,'2',125.41666667,14.166666667000001,1140.0,1140.0,1140.0,1140.0,0,0,73200,17600,29300,46850,58560.0,19800.0,32962.5,52706.25,65880.0,342.0,0.0683060109,1,0.2585649644,1,0.0952380952,1,69.21675774100001,4,294.76405947,4,108.57142857,3,69.21675774100001,4,294.76405947,4,108.57142857,3,69.21675774100001,4,294.76405947,4,108.57142857,3,69.21675774100001,4,294.76405947,4,108.57142857,3,'1 Adequate','Central City','1980-1989','2 2-4 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','1 LTE Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','1 LTE 50% FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','1 LTE 30% AMI','0 Not Assisted','3 50% or More','-5','-5'
81,'100107230103',60,'1','3',73200,1723,17600,29300,46850,15517,4,2004,'1',1,240000,-6,'1',1,7,2559.5669872,2,39248,'1',2103,1,'1',300.0,78.333333333,1973.3624677,2900.1365426999996,2263.2648129,1772.7736026,0,-9,73200,17600,29300,46850,58560.0,25520.0,42485.0,67932.5,84912.0,0.6429881777,67.021857923,4,252.93549011,4,56.947185141999995,2,92.96035743700001,5,508.69690473,4,114.53061333,3,106.61695934,6,583.42844955,4,131.35605414,3,136.61845406,7,747.6023826,4,168.31901002,3,83.51109867,5,456.98874848,4,102.88877554,3,'1 Adequate','Central City','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','5 80 - 100% AMI','6 100 - 120% AMI','7 120% AMI +','5 80 - 100% AMI','4 60 - 80% AMI','.','3 50% or More','-5','-5'
82,'100107330103',43,'2','3',60060,1528,13025,21697,34702,12055,4,2003,'1',1,150000,-6,'1',1,8,3037.6044399,1,69987,'1',1198,1,'1',155.83333333,45.833333333,1198.5598756,1777.7936725000002,1379.7488414000002,1073.1918349,70000,-9,60060,13025,21697,34702,42042.0,21584.285713999998,35955.028570999995,57506.171428999995,69669.6,0.2054095761,166.46924504,7,580.56408129,4,114.50752618,3,68.813937535,4,397.6971798,4,78.439782436,2,79.216693732,4,457.81794821,4,90.297699045,2,102.06998016,6,589.89420905,4,116.34775344,3,61.616075587,3,356.09849355,4,70.235067731,2,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','3 GT FMR','2 50.1 - 100% FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','6 100 - 120% AMI','3 50 - 60% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
83,'100107370148',66,'4','2',63221,1151,13338,22199,35501,11114,4,1985,'1',1,300000,-6,'1',1,8,3049.1800164,1,31200,'1',1208,1,'1',172.66666667,75.0,2241.4530846000002,3399.9206784000003,2603.8310161,1990.7170032000001,0,-9,63221,13338,22199,35501,44254.7,22102.971428999997,36786.914286,58830.22857100001,73336.36,0.4646153846,70.500986336,4,280.72701098,4,67.76715899199999,2,122.25603149999999,7,806.71336497,4,194.73962507,3,142.02128473,7,937.13551058,4,226.22337238,3,185.4425651,7,1223.6532944,4,295.38841689,3,108.58008241,6,716.47183847,4,172.95543034,3,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','2 50.1 - 100% FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','6 100 - 120% AMI','4 60 - 80% AMI','.','2 30% to 50%','-5','-5'
84,'100107430103',43,'2','3',60060,1282,16745,27889,44618,18070,3,2006,'1',1,-6,-6,'2',1,5,2186.8801709000004,3,9987,'1',700,1,'2',0.0,0.0,700.0,700.0,700.0,700.0,400,0,60060,16745,27889,44618,54054.0,19349.777778,32227.288889,51558.577778,62462.4,0.8410934214,18.475968476,1,55.268400664,1,19.475429017,1,44.82696790399999,2,154.95296071,3,54.602184087,2,44.82696790399999,2,154.95296071,3,54.602184087,2,44.82696790399999,2,154.95296071,3,54.602184087,2,44.82696790399999,2,154.95296071,3,54.602184087,2,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','2 Renter','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','1 LTE Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','1 LTE 50% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','1 LTE 30% AMI','0 Not Assisted','3 50% or More','-5','-5'
85,'100107530103',31,'1','3',73200,1421,25500,42500,67950,30834,3,2005,'1',1,-6,-6,'2',1,6,2238.7171785,6,45000,'1',1286,1,'2',190.66666667,0.0,1286.0,1286.0,1286.0,1286.0,29557,0,73200,25500,42500,67950,84912.0,22862.068966,38103.448275999996,60920.689654999995,76128.0,0.3429333333,52.996042962,3,145.94279043,2,79.169598874,2,67.570407734,4,166.82882532,3,90.499648135,2,67.570407734,4,166.82882532,3,90.499648135,2,67.570407734,4,166.82882532,3,90.499648135,2,67.570407734,4,166.82882532,3,90.499648135,2,'1 Adequate','Central City','2000-2009','1 Single Family','3 3BR','2 Renter','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','3 150-200% Poverty','2 100-150% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','4 60 - 80% AMI','3 50 - 60% AMI','0 Not Assisted','2 30% to 50%','-5','-5'
86,'100107630103',66,'2','3',60060,1528,14883,24790,39658,14024,4,2006,'1',1,330000,-6,'1',1,7,2430.5287669,2,81300,'1',882,1,'1',199.0,174.16666667,2566.3317264,3840.6460795000003,2964.9474511,2290.5220368,0,-9,60060,14883,24790,39658,48048.0,21580.35,35945.5,57504.1,69669.6,0.1301845018,169.20579421,7,579.72047918,4,133.01701571,3,147.34298612,7,731.98280843,4,167.95364701,3,170.22904975,7,845.67810927,4,194.04106355,3,220.5062799,7,1095.4495378,4,251.35118322,3,131.50768983,7,653.31489927,4,149.90327466,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
87,'100107710246',24,'2','3',60060,769,13025,21697,34702,12005,1,1980,'1',1,-6,-6,'2',10,3,4357.7315195,1,27000,'1',668,3,'2',59.0,0.0,668.0,668.0,668.0,668.0,25000,0,60060,13025,21697,34702,42042.0,13955.357143000001,23246.785713999998,37180.714286,45045.0,0.2968888889,64.221492793,4,224.90628905,4,87.7763329,2,59.318459318,3,222.57392753,4,86.866059818,2,59.318459318,3,222.57392753,4,86.866059818,2,59.318459318,3,222.57392753,4,86.866059818,2,59.318459318,3,222.57392753,4,86.866059818,2,'1 Adequate','-5','1980-1989','3 5-19 units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','3 50 - 60% AMI','4 60 - 80% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
88,'100107730103',36,'2','3',60060,1282,18575,30963,49543,23500,3,2010,'1',1,-6,-6,'2',16,6,3896.9722051,4,44135,'1',650,3,'2',172.0,0.0,650.0,650.0,650.0,650.0,25000,0,60060,18575,30963,49543,60060.0,19318.0,32201.52,51524.72,62462.4,0.17673048600000002,73.484848485,4,187.80851064,3,86.06669266799999,2,41.625041625,2,110.63829787,2,50.702028081,2,41.625041625,2,110.63829787,2,50.702028081,2,41.625041625,2,110.63829787,2,50.702028081,2,41.625041625,2,110.63829787,2,50.702028081,2,'1 Adequate','-5','After 2010','3 5-19 units','3 3BR','2 Renter','2 100-150% Poverty','2 100-150% Poverty','2 100-150% Poverty','2 100-150% Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','2 30 - 50% AMI','4 60 - 80% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
89,'100107930103',38,'1','3',73200,1050,17600,29300,46850,15492,2,2008,'1',1,-6,-6,'2',304,4,2023.3156640999998,2,84974,'1',1990,5,'2',123.5,66.666666667,1990.0,1990.0,1990.0,1990.0,85000,0,73200,17600,29300,46850,58560.0,19800.0,32962.5,52706.25,65880.0,0.2810271377,145.10587432,7,548.50245288,4,202.31904762,3,120.82574378,7,513.8135812,4,189.52380952,3,120.82574378,7,513.8135812,4,189.52380952,3,120.82574378,7,513.8135812,4,189.52380952,3,120.82574378,7,513.8135812,4,189.52380952,3,'1 Adequate','Central City','2000-2009','5 50+ units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','0 Not Assisted','1 Less than 30%','-5','-5'
90,'100114130133',58,'3','1',95481,1957,22928,38218,52354,15517,5,2004,'1',1,700000,-6,'1',1,10,468.25129809,2,143574,'1',5189,1,'1',368.33333333,104.16666667,5124.6683085,7827.759360600001,5970.2168154,4539.6174519,143600,-9,95481,22928,38218,52354,76384.8,36684.8,61148.8,83766.4,122215.68,0.43369969490000004,187.96147925,7,925.26905974,4,183.41083291,3,167.72539525,7,1321.046158,4,261.86348025,3,195.39937316,7,1539.0131637,4,305.06984238,3,256.19492885,7,2017.8538018,4,399.98770366,3,148.57725136,7,1170.2307023,4,231.96818865,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','2 30% to 50%','-5','-5'
91,'100114720245',44,'3','1',70310,1363,22961,38255,59730,27610,5,1985,'1',1,1200000,-6,'1',1,11,2689.3588165,5,436222,'1',4455,1,'1',813.25,150.0,8938.395671600001,13572.266047,10387.907398000001,7935.451346100001,122000,-9,70310,22961,38255,59730,75934.8,27213.037037000002,45339.259259,70791.111111,89996.8,0.12255227839999999,574.46914985,7,1579.94205,4,800.11371974,3,397.27615523,7,1294.9504775999999,4,655.78838383,3,461.70118928,7,1504.9485545999999,4,762.1355391,3,603.2332726,7,1966.2826579999999,4,995.76420006,3,352.69926691,7,1149.648873,4,582.20479429,3,'1 Adequate','-5','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
